Gene1,Gene2
Btaf1,Satb1
Btaf1,Hmgxb4
Btaf1,Cux2
Btaf1,Sfi1
Btaf1,Cux1
Btaf1,Cited2
Btaf1,Zfp219
Btaf1,Mtf2
Btaf1,Bnip3
Btaf1,Maml3
Btaf1,Fus
Btaf1,Atf4
Btaf1,Asxl1
Btaf1,Rbpj
Btaf1,Pcbp2
Btaf1,Ctnnb1
Btaf1,Taf5
Btaf1,Matr3
Btaf1,Zfp335
Btaf1,Tfrc
Btaf1,Elf1
Btaf1,Notch2
Btaf1,Psip1
Btaf1,Smarca5
Btaf1,Ulk1
Btaf1,Elp2
Btaf1,Elk4
Btaf1,Brca2
Btaf1,Fgf4
Btaf1,Smarcd1
Btaf1,Phf20
Btaf1,Atf1
Btaf1,Dido1
Btaf1,Kpna2
Btaf1,Sirt1
Btaf1,Gldc
Btaf1,Mylpf
Btaf1,Ep400
Btaf1,Gdpd5
Btaf1,Fxr2
Btaf1,Odc1
Btaf1,Mcm6
Btaf1,Surf4
Btaf1,Ranbp17
Btaf1,Sub1
Btaf1,Srrt
Btaf1,Maml1
Btaf1,Alpl
Btaf1,Hnrnpab
Btaf1,Rfx2
Btaf1,Rnf14
Btaf1,Mybl2
Btaf1,Atf5
Btaf1,Cobl
Btaf1,Nrf1
Btaf1,Prdm5
Btaf1,Nacc1
Btaf1,Orc2
Btaf1,Ybx1
Btaf1,Tpm4
Btaf1,Tpd52
Btaf1,Xbp1
Btaf1,Pdk1
Btaf1,Nedd4
Btaf1,Fblim1
Btaf1,Phc1
Btaf1,Brd7
Btaf1,Shroom3
Btaf1,Ezh1
Btaf1,Zbtb39
Btaf1,Rbl1
Btaf1,Txndc12
Btaf1,Bclaf1
Btaf1,Foxj3
Btaf1,Cnot6
Btaf1,Timeless
Btaf1,Phlda3
Btaf1,Ctnnbip1
Btaf1,Patj
Btaf1,Nup210
Btaf1,Tcea1
Btaf1,Srf
Btaf1,Taf10
Btaf1,Tead4
Btaf1,Yeats2
Btaf1,Dek
Btaf1,Cbx7
Btaf1,Usf1
Btaf1,Rfx7
Btaf1,Car2
Btaf1,Bex1
Btaf1,Tulp3
Btaf1,Sp1
Btaf1,Keap1
Btaf1,Zfp148
Btaf1,Fubp3
Btaf1,Glis2
Btaf1,Gsr
Btaf1,Mlxip
Btaf1,Smarcad1
Btaf1,Tsg101
Btaf1,Marc2
Btaf1,Pelp1
Btaf1,Trim28
Btaf1,Hmces
Btaf1,Notch1
Btaf1,Hdac1
Btaf1,Zbtb38
Btaf1,Mkrn1
Btaf1,Smurf1
Btaf1,Ebf4
Btaf1,Cnot3
Btaf1,Arhgap29
Btaf1,Sertad2
Btaf1,Pias2
Btaf1,Etv3
Btaf1,Gls
Btaf1,Xrcc6
Btaf1,Itpk1
Btaf1,Tmf1
Btaf1,Lamc1
Btaf1,Foxj2
Btaf1,Mov10
Btaf1,Srsf6
Btaf1,Dnmt1
Btaf1,Rela
Btaf1,Tspan9
Btaf1,Smarca4
Btaf1,Yeats4
Btaf1,Smarcc1
Btaf1,Gabpa
Btaf1,Zfp281
Btaf1,Trim24
Btaf1,Zswim4
Btaf1,Mta3
Btaf1,Trim13
Btaf1,Rnf2
Btaf1,Creb3
Btaf1,Abhd5
Btaf1,Insig1
Btaf1,Ell2
Btaf1,Etv5
Btaf1,Aatf
Btaf1,Itga6
Btaf1,Zbtb43
Btaf1,Zfp277
Btaf1,Sfpq
Btaf1,Tead1
Btaf1,Zfhx3
Btaf1,Irf1
Btaf1,Podxl
Btaf1,Apbb1
Btaf1,Foxp1
Btaf1,Btf3
Btaf1,Ncor1
Btaf1,Suz12
Btaf1,Nfkbia
Btaf1,Klf2
Btaf1,Tcerg1
Btaf1,Parp1
Btaf1,Lama1
Btaf1,Fiz1
Btaf1,Nfatc3
Btaf1,Hmgxb3
Btaf1,Cd63
Btaf1,Ewsr1
Btaf1,Rif1
Btaf1,Zfp276
Btaf1,Ssb
Btaf1,Edem1
Btaf1,Rbfox2
