Gene1,Gene2
Klf6,Jun
Jun,Klf6
Klf6,Atf3
Atf3,Klf6
Klf6,Btg2
Btg2,Klf6
Lhx2,Ldb1
Ldb1,Lhx2
Mcm7,Rif1
Mcm7,Timeless
Timeless,Mcm7
Mcm7,Rbl1
Rbl1,Mcm7
Mcm7,Cdc20
Mcm7,Uhrf1
Mcm7,Mcm5
Mcm5,Mcm7
Mcm7,Ccnd1
Ccnd1,Mcm7
Mcm7,Espl1
Espl1,Mcm7
Mcm7,Rad51
Rad51,Mcm7
Mcm7,Mcm2
Mcm2,Mcm7
Mcm7,Mcm4
Mcm4,Mcm7
Mcm7,Ccnb1
Mcm7,Rrm2
Mcm7,Msh6
Mcm7,Kntc1
Kntc1,Mcm7
Mcm7,Dnmt1
Dnmt1,Mcm7
Mcm7,Orc2
Orc2,Mcm7
Mcm7,Mcm3
Mcm3,Mcm7
Mcm7,Mcm6
Mcm6,Mcm7
Smarcb1,Gli1
Gli1,Smarcb1
Smarcb1,Hdac2
Hdac2,Smarcb1
Smarcb1,Brd7
Brd7,Smarcb1
Smarcb1,Runx1
Runx1,Smarcb1
Smarcb1,Smarcc2
Smarcc2,Smarcb1
Smarcb1,Trp53
Trp53,Smarcb1
Smarcb1,Smarcd1
Smarcd1,Smarcb1
Smarcb1,Ccnd1
Ccnd1,Smarcb1
Smarcb1,Yeats4
Yeats4,Smarcb1
Smarcb1,Smarca2
Smarca2,Smarcb1
Smarcb1,Smarca4
Smarca4,Smarcb1
Smarcb1,Smarcc1
Smarcc1,Smarcb1
Ilf2,Hnrnpk
Hnrnpk,Ilf2
Ilf2,Ilf3
Ilf3,Ilf2
Ilf2,Matr3
Matr3,Ilf2
Ilf2,Ctsz
Ilf2,Cst3
Ilf2,Ssb
Ssb,Ilf2
Ilf2,Timp2
Ilf2,Ctsd
Ilf2,Srsf3
Srsf3,Ilf2
Mcm6,Uhrf1
Mcm3,Uhrf1
Dnmt1,Uhrf1
Kntc1,Uhrf1
Mcm5,Uhrf1
Mcm4,Uhrf1
Ezh2,Uhrf1
Brca1,Uhrf1
Mcm2,Uhrf1
Ehmt2,Uhrf1
Rad51,Uhrf1
Espl1,Uhrf1
Sp1,Taf6
Taf6,Sp1
Sp1,Usf1
Usf1,Sp1
Sp1,Smad4
Smad4,Sp1
Sp1,Ep300
Ep300,Sp1
Sp1,Ints12
Ints12,Sp1
Sp1,Taf9
Taf9,Sp1
Sp1,Ncoa3
Ncoa3,Sp1
Sp1,Trp53
Trp53,Sp1
Sp1,Snapc3
Snapc3,Sp1
Sp1,Ell2
Ell2,Sp1
Sp1,Ell3
Ell3,Sp1
Sp1,Jun
Jun,Sp1
Sp1,Smad3
Smad3,Sp1
Sp1,Hdac1
Hdac1,Sp1
Sp1,Mdm2
Mdm2,Sp1
Sp1,Mapk8
Mapk8,Sp1
Sp1,Smad2
Smad2,Sp1
Sp1,Taf5
Taf5,Sp1
Sp1,Srrt
Srrt,Sp1
Tulp3,Gli2
Gli2,Tulp3
Ell2,Taf6
Taf6,Ell2
Ell2,Ints12
Ints12,Ell2
Ell2,Taf9
Taf9,Ell2
Ell2,Snapc3
Snapc3,Ell2
Ell2,Mllt1
Mllt1,Ell2
Ell2,Taf5
Taf5,Ell2
Ell2,Ell3
Ell3,Ell2
Ell2,Srrt
Srrt,Ell2
Fxr1,Fxr2
Fxr2,Fxr1
Akt1,Gata3
Gata3,Akt1
Akt1,Dnmt1
Dnmt1,Akt1
Akt1,Mkrn1
Akt1,Sox2
Sox2,Akt1
Akt1,Ndrg1
Akt1,Smad4
Smad4,Akt1
Akt1,Ccnb1
Akt1,Snai1
Snai1,Akt1
Akt1,Myc
Myc,Akt1
Akt1,Ezh2
Ezh2,Akt1
Akt1,Hspa5
Akt1,Igfbp2
Akt1,Atf4
Atf4,Akt1
Akt1,Notch4
Notch4,Akt1
Akt1,Phf20
Phf20,Akt1
Akt1,Gja1
Akt1,Foxo3
Foxo3,Akt1
Akt1,Lrp2
Akt1,Kit
Akt1,Trp53
Trp53,Akt1
Akt1,Vim
Akt1,Klf4
Klf4,Akt1
Akt1,Id2
Id2,Akt1
Akt1,Igf2
Akt1,Twist1
Twist1,Akt1
Akt1,Pdcd4
Akt1,Zeb1
Zeb1,Akt1
Akt1,Trib3
Trib3,Akt1
Akt1,Srebf1
Srebf1,Akt1
Akt1,Ctnnb1
Ctnnb1,Akt1
Akt1,Jun
Jun,Akt1
Akt1,Htt
Htt,Akt1
Akt1,Rela
Rela,Akt1
Akt1,Ikbkb
Ikbkb,Akt1
Akt1,Atf2
Atf2,Akt1
Akt1,Ccnd1
Ccnd1,Akt1
Akt1,Tcl1
Akt1,Bmi1
Bmi1,Akt1
Akt1,Vegfa
Akt1,Smad3
Smad3,Akt1
Akt1,Anxa5
Akt1,Fn1
Akt1,Rapgef3
Rapgef3,Akt1
Akt1,Brca1
Brca1,Akt1
Akt1,Ybx1
Ybx1,Akt1
Akt1,Foxo1
Foxo1,Akt1
Akt1,Notch1
Notch1,Akt1
Akt1,Foxa2
Foxa2,Akt1
Akt1,Atm
Atm,Akt1
Akt1,Tgfb1
Tgfb1,Akt1
Akt1,Egr1
Egr1,Akt1
Akt1,Mdm2
Mdm2,Akt1
Akt1,Hspb1
Hspb1,Akt1
Akt1,Brpf1
Brpf1,Akt1
Akt1,Pdk1
Akt1,Smad2
Smad2,Akt1
Akt1,Parp1
Parp1,Akt1
Akt1,Nrg1
Akt1,Mapk11
Mapk11,Akt1
Akt1,Ilk
Ilk,Akt1
Akt1,Mapk13
Mapk13,Akt1
Akt1,Mapk3
Mapk3,Akt1
Akt1,Pml
Pml,Akt1
Akt1,Txnip
Akt1,Sirt1
Sirt1,Akt1
Akt1,Ncor1
Ncor1,Akt1
Hoxd13,Meis1
Meis1,Hoxd13
Nacc1,Zfp281
Zfp281,Nacc1
Nacc1,Nanog
Nanog,Nacc1
Tgfb1,Smad4
Smad4,Tgfb1
Tgfb1,Snai1
Snai1,Tgfb1
Tgfb1,Srgn
Tgfb1,Ep300
Ep300,Tgfb1
Tgfb1,Sparc
Tgfb1,Trp53
Trp53,Tgfb1
Tgfb1,Vim
Tgfb1,Igf2
Tgfb1,Smad7
Smad7,Tgfb1
Tgfb1,Sdc4
Tgfb1,App
Tgfb1,Ctnnb1
Ctnnb1,Tgfb1
Tgfb1,Lefty2
Tgfb1,Vegfa
Tgfb1,Smad3
Smad3,Tgfb1
Tgfb1,Zfhx3
Zfhx3,Tgfb1
Tgfb1,Serpine2
Tgfb1,Smurf1
Smurf1,Tgfb1
Tgfb1,Fn1
Tgfb1,Runx3
Runx3,Tgfb1
Tgfb1,Gas6
Tgfb1,Ltbp4
Tgfb1,Lefty1
Tgfb1,Smad2
Smad2,Tgfb1
Bmp4,Lamb1
Men1,Lamb1
Csf1,Lamb1
Irf3,Ddx58
Ddx58,Irf3
Irf3,Trim25
Trim25,Irf3
Irf3,Ep300
Ep300,Irf3
Irf3,Myd88
Myd88,Irf3
Irf3,Ctnnb1
Ctnnb1,Irf3
Irf3,Jun
Jun,Irf3
Plag1,Hmga2
Hmga2,Plag1
Mapk8,Tpm4
Xbp1,Calr
Atf6,Calr
Cux1,Eomes
Eomes,Cux1
Cux1,Satb2
Satb2,Cux1
Dnmt1,Rb1
Rb1,Dnmt1
Dnmt1,Hdac2
Hdac2,Dnmt1
Dnmt1,Sox2
Sox2,Dnmt1
Dnmt1,Rbbp4
Rbbp4,Dnmt1
Dnmt1,Ezh2
Ezh2,Dnmt1
Dnmt1,Phf1
Phf1,Dnmt1
Dnmt1,Mcm2
Mcm2,Dnmt1
Dnmt1,Eed
Eed,Dnmt1
Dnmt1,Trp53
Trp53,Dnmt1
Dnmt1,Ctcf
Ctcf,Dnmt1
Dnmt1,Zeb1
Zeb1,Dnmt1
Dnmt1,Sap30
Sap30,Dnmt1
Dnmt1,Jarid2
Jarid2,Dnmt1
Dnmt1,Mtf2
Mtf2,Dnmt1
Dnmt1,Bmi1
Bmi1,Dnmt1
Dnmt1,Rbbp7
Rbbp7,Dnmt1
Dnmt1,Hdac1
Hdac1,Dnmt1
Dnmt1,Tet1
Dnmt1,Tet2
Dnmt1,Mcm5
Mcm5,Dnmt1
Dnmt1,Rbl1
