,PseudoTime
RamDA_mESC_00h_A04,37.4281466122255
RamDA_mESC_00h_A05,36.7158975614534
RamDA_mESC_00h_A06,40.1493366134976
RamDA_mESC_00h_A07,33.726960635148
RamDA_mESC_00h_A08,35.0752778485568
RamDA_mESC_00h_A09,40.36370192609
RamDA_mESC_00h_A12,39.7500696476774
RamDA_mESC_00h_B01,33.4753215739349
RamDA_mESC_00h_B02,39.9687143641247
RamDA_mESC_00h_B03,37.5054931028577
RamDA_mESC_00h_B04,38.045903868434
RamDA_mESC_00h_B05,35.891534092593
RamDA_mESC_00h_B06,38.5708034382114
RamDA_mESC_00h_B07,34.805099061186
RamDA_mESC_00h_B08,39.8153340990155
RamDA_mESC_00h_B09,42.6168822452632
RamDA_mESC_00h_B10,40.9740891484861
RamDA_mESC_00h_B11,44.2055085681193
RamDA_mESC_00h_B12,42.1512944863313
RamDA_mESC_00h_C01,31.3827573320279
RamDA_mESC_00h_C02,38.3571712788248
RamDA_mESC_00h_C03,46.4913779853552
RamDA_mESC_00h_C04,35.3888771199621
RamDA_mESC_00h_C05,39.2088527873401
RamDA_mESC_00h_C06,42.9878877973471
RamDA_mESC_00h_C07,39.3586952897866
RamDA_mESC_00h_C08,38.010668831901
RamDA_mESC_00h_C09,45.5451860813432
RamDA_mESC_00h_C10,43.8442363905781
RamDA_mESC_00h_C11,43.3784448421226
RamDA_mESC_00h_D01,42.4367427999848
RamDA_mESC_00h_D02,41.3412011615479
RamDA_mESC_00h_D03,41.0319738075502
RamDA_mESC_00h_D04,32.2985012177575
RamDA_mESC_00h_D05,42.2945254535486
RamDA_mESC_00h_D06,45.2166719736966
RamDA_mESC_00h_D07,40.0419485470292
RamDA_mESC_00h_D08,42.5017528199395
RamDA_mESC_00h_D09,49.4951946255824
RamDA_mESC_00h_D10,36.2630091701782
RamDA_mESC_00h_D11,44.4612559801264
RamDA_mESC_00h_D12,34.3449329815805
RamDA_mESC_00h_E01,41.7474851987907
RamDA_mESC_00h_E02,43.5571811339165
RamDA_mESC_00h_E03,40.6684542748553
RamDA_mESC_00h_E04,41.4542157053795
RamDA_mESC_00h_E05,41.5476314509185
RamDA_mESC_00h_E06,42.275122732091
RamDA_mESC_00h_E07,51.2858450528344
RamDA_mESC_00h_E08,41.5884188826429
RamDA_mESC_00h_E09,39.5953799242242
RamDA_mESC_00h_E10,49.3827758238852
RamDA_mESC_00h_E11,39.9436569624012
RamDA_mESC_00h_E12,45.6459627422214
RamDA_mESC_00h_F01,36.7208937964852
RamDA_mESC_00h_F02,40.6199030663176
RamDA_mESC_00h_F03,44.1015172972789
RamDA_mESC_00h_F04,46.8026043929241
RamDA_mESC_00h_F05,37.127273543236
RamDA_mESC_00h_F06,32.8707458819902
RamDA_mESC_00h_F07,33.150346339781
RamDA_mESC_00h_F08,41.8860920726148
RamDA_mESC_00h_F09,37.6536646541632
RamDA_mESC_00h_F10,40.2573805311281
RamDA_mESC_00h_F11,34.7366741266146
RamDA_mESC_00h_F12,39.5884696056011
RamDA_mESC_00h_G01,41.7389170623079
RamDA_mESC_00h_G02,42.6532340095713
RamDA_mESC_00h_G03,34.7259687460383
RamDA_mESC_00h_G04,33.0663819167208
RamDA_mESC_00h_G05,41.5657879981749
RamDA_mESC_00h_G06,40.971347921968
RamDA_mESC_00h_G07,39.792604761094
RamDA_mESC_00h_G08,41.8101377252
RamDA_mESC_00h_G09,43.8050990228939
RamDA_mESC_00h_G10,36.6868552301113
RamDA_mESC_00h_G11,41.5903475516834
RamDA_mESC_00h_G12,38.9221803870297
RamDA_mESC_00h_H01,36.8576708985366
RamDA_mESC_00h_H02,36.1283967493187
RamDA_mESC_00h_H03,37.3003821092583
RamDA_mESC_00h_H04,41.0095748934826
RamDA_mESC_00h_H05,37.5909300951735
RamDA_mESC_00h_H06,41.9468202847271
RamDA_mESC_00h_H07,47.2655201030152
RamDA_mESC_00h_H08,42.1896343298903
RamDA_mESC_00h_H09,39.8504184050223
RamDA_mESC_00h_H10,40.4729572331152
RamDA_mESC_00h_H11,44.6976869284523
RamDA_mESC_00h_H12,44.2838597926731
RamDA_mESC_12h_A04,62.0273200856217
RamDA_mESC_12h_A05,70.5560168894964
RamDA_mESC_12h_A06,69.240038222299
RamDA_mESC_12h_A08,75.9975017895132
RamDA_mESC_12h_A09,65.6155398791764
RamDA_mESC_12h_A12,61.0424868774688
RamDA_mESC_12h_B02,71.8654264149225
RamDA_mESC_12h_B05,70.3822526469728
RamDA_mESC_12h_B06,65.4641343796614
RamDA_mESC_12h_B07,81.5958203720476
RamDA_mESC_12h_B08,74.6972031241552
RamDA_mESC_12h_B09,75.5075192119766
RamDA_mESC_12h_B10,79.6015291056055
RamDA_mESC_12h_B11,70.0927478288724
RamDA_mESC_12h_B12,73.2650882500142
RamDA_mESC_12h_C02,68.6027921367225
RamDA_mESC_12h_C03,60.1795415367999
RamDA_mESC_12h_C04,69.8677144057291
RamDA_mESC_12h_C05,67.2600964580457
RamDA_mESC_12h_C07,62.2870832910101
RamDA_mESC_12h_C09,73.0423888718399
RamDA_mESC_12h_C10,75.2449021043137
