,pval,variance
HLA-DRA,0.0,15.439924187036835
LYZ,0.0,15.170803524965478
S100A9,0.0,14.883961671553239
CST3,0.0,14.72244468790727
TYROBP,0.0,14.655787375394212
LGALS1,0.0,13.991719328213977
HLA-DRB1,0.0,13.50328219781478
HLA-DPB1,0.0,13.49885867314908
HLA-DPA1,0.0,13.28585156640707
IL32,0.0,12.920651498226338
AIF1,0.0,12.685517744550065
S100A8,0.0,12.53654648537174
CCL5,0.0,12.505697485729097
NKG7,0.0,12.498072059621112
SAT1,0.0,12.479565417328637
FCER1G,0.0,12.435011073219977
LST1,0.0,12.387299123143148
CTSS,0.0,12.277762022497384
S100A11,0.0,12.22201190596781
CD3D,0.0,12.163645048558859
LTB,0.0,12.039294401085911
COTL1,0.0,12.027827170508452
PSAP,0.0,11.852552946652363
SRGN,0.0,11.555089867924405
GSTP1,0.0,11.524890300914766
CXCR4,0.0,11.398111298704327
GPX1,0.0,11.380584494744888
PTPRCAP,0.0,11.24997675953411
CD3E,0.0,11.20422924110925
ANXA1,0.0,11.186617355383072
ISG15,0.0,11.10280252911802
FCN1,0.0,11.06115956466286
GABARAP,0.0,11.004169263773145
NPC2,0.0,10.983650064722594
S100A10,0.0,10.94926504744665
NFKBIA,0.0,10.942944904955642
TYMP,0.0,10.89014878091402
GIMAP7,0.0,10.889257647454235
HCST,0.0,10.865082071187476
HLA-DRB5,0.0,10.770587680337622
TSPO,0.0,10.763689429548071
IER2,0.0,10.763103505379613
IFITM1,0.0,10.760344838506374
IL7R,0.0,10.719589679661517
LDHB,0.0,10.69807624049848
ANXA2,0.0,10.697435004282106
PLAC8,0.0,10.690211103838443
NEAT1,0.0,10.66932290734485
SELL,0.0,10.656769466140672
CD99,0.0,10.654164261495232
PSME2,0.0,10.60883830953875
AES,0.0,10.60381606618557
EVL,0.0,10.595423248346913
TAGLN2,0.0,10.584729385537356
SLC25A5,0.0,10.566131533513122
CALM2,0.0,10.56492504556578
RAC1,0.0,10.561193735752608
KLF6,0.0,10.554259369474023
ITGB2,0.0,10.543960868711453
IFI6,0.0,10.543383318250848
PRELID1,0.0,10.54007857371538
RHOA,0.0,10.538319755367226
C6orf48,0.0,10.531707538789876
UCP2,0.0,10.528649011079972
ISG20,0.0,10.522689244533948
TPI1,0.0,10.518534996280717
ARPC5,0.0,10.51463903354515
SERP1,0.0,10.509975561924584
RARRES3,0.0,10.498119651463995
NAP1L1,0.0,10.497475975597817
LY6E,0.0,10.492503984848605
CD53,0.0,10.489509760787772
CLIC1,0.0,10.48164377094215
HSP90AA1,0.0,10.480646827730581
ENO1,0.0,10.480254249686489
LSP1,0.0,10.466619745043307
GSTK1,0.0,10.462869461776933
FKBP1A,0.0,10.461094576204363
PNRC1,0.0,10.457757159010796
FOSB,0.0,10.448864071462072
HMGN1,0.0,10.440084117203817
ZFP36L2,0.0,10.43901915504306
